Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
GSO,3,c,o,5,8,0,,,,,,,,,,,l
GSO,3,c,o,6,25,3,4,1,5,18,3,1,7,5,k5,+,w
GSO,3,c,o,6,25,3,4,b,5,18,3,sd3,18,sd3,a,-,
GSO,3,c,o,5,8,1,4,1,5,18,6,4,8,5,ba5,o,
GSO,3,c,+,6,25,0,,,,,,,,,,,l
GSO,3,c,o,5,25,3,4,1,5,18,3,5,6,6,e6,+,l
GSO,3,c,o,5,25,3,4,1,5,18,3,4,8,t1,e1,-,l
GSO,3,c,o,6,25,3,4,1,5,8,3,5,6,5,k5,+,w
GSO,3,c,o,5,8,1,4,3,5,8,1,3,7,6,k6,+,w
GSO,3,c,o,5,25,2,4,1,5,18,3,5,6,1,k1,+,w
GSO,3,c,o,5,8,1,4,1,5,18,6,bra,5,5,e5,+,l
GSO,3,c,o,5,8,0,,,,,,,,,,,l
GSO,3,c,o,5,25,3,4,1,5,18,3,4,8,5,be6,+,l
GSO,3,c,o,5,25,3,4,1,5,18,3,5,6,1,k1,+,w
GSO,3,c,o,5,25,3,4,b,5,18,3,b,7,5,k5,+,w
GSO,3,c,o,5,25,2,4,1,5,18,2,4,8,5,ba5,o,
GSO,4,c,o,5,25,0,,,,,,,,,,,l
GSO,4,c,o,6,5,3,4,3,,18,3,3,7,1,ba1,+,
GSO,4,c,o,5,25,3,4,3,,18,3,4,8,6,ba6,o,
GSO,4,c,o,6,5,0,,,,,,,,,,,l
GSO,4,c,o,5,25,3,4,3,,18,3,4,8,5,bk5,+,w
GSO,4,c,o,5,25,3,4,b,,18,3,b,7,6,a,o,
GSO,4,c,o,1,8,2,4,b,,18,3,bra,25,1,k1,+,w
GSO,4,c,o,6,5,1,,,,,,,,,,,
GSO,5,c,o,5,25,2,4,b,,18,3,4,25,5,ba5,o,
GSO,5,c,o,3,7,3,4,c,,18,3,c,7,5,ba5,+,
GSO,5,c,o,6,5,3,4,c,,18,3,4,25,5,a,+,
GSO,5,a,o,1,8,2,4,b,,18,3,b,7,6,a,+,
GSO,5,a,o,1,3,1,4,b,,18,3,4,25,5,a,+,
GSO,5,c,o,1,3,2,4,1,,18,3,4,25,r3,a,-,
GSO,5,c,o,6,5,3,4,c,,18,3,c,7,5,bk5,+,w
GSO,5,c,o,6,5,3,4,c,,18,3,c,7,1,k1,+,w
GSO,6,c,o,5,3,1,5,c,,18,3,bra,8,6,a,o,
GSO,6,c,o,5,3,2,5,1,,18,3,1,10,t6,a,-,
GSO,6,c,o,5,25,1,5,1,,3,5,bra,8,1,a,o,c
GSO,6,c,o,1,25,1,5,1,,18,6,5,25,5,ba5,+,
GSO,6,c,o,5,3,3,4,1,,18,3,4,25,1,k1,+,w
GSO,6,c,o,5,3,1,,,,,,,,,,,
GSO,6,c,o,5,25,3,4,1,,18,3,4,25,5,a,o,
GSO,6,c,o,5,3,3,4,c,,18,3,c,10,5,be5,+,l
GSO,6,c,o,5,3,2,4,c,,18,3,4,25,1,bk1,+,w
GSO,6,c,o,5,25,1,4,c,,18,3,bra,8,t1,a,-,
GSO,6,c,o,5,25,2,4,b,,18,3,c,10,t3,a,-,
GSO,6,c,o,5,3,2,4,1,,18,3,4,25,6,e6,+,l
GSO,4,C,O,1,3,1,4,C,,18,3,4,8,R1,A,-,
GSO,5,A,+,5,25,3,4,1,,18,3,4,25,5,BA,O,
GSO,5,A,+,6,5,1,4,C,,18,6,C,10,6,E,O,L
GSO,5,A,+,5,25,1,4,,,8,1,4,25,R1,E,-,L
GSO,5,A,+,5,25,1,4,C,,18,6,4,25,T2,K,-,W
GSO,6,A,+,1,5,3,4,2,,18,3,2,7,5,A,+,
GSO,6,A,O,6,5,3,5,4,,18,3,5,25,1,K,O,W
GSO,1,B,O,6,5,0,,,,,,,,,,,L
GSO,1,B,O,1,5,0,,,,,,,,,,,L
GSO,1,B,+,6,5,3,5,3,4,18,3,4,6,1,A,+,
GSO,2,C,O,5,8,1,4,B,5,18,6,5,6,1,BE,O,L
GSO,2,C,O,5,8,1,4,2,5,18,1,4,8,T2,A,-,
GSO,3,A,O,6,25,1,4,B,2,18,6,4,8,5,K,O,W
GSO,4,C,O,1,3,1,4,,,18,1,BRA,25,5,E,O,L
GSO,5,A,O,6,5,3,4,C,,18,3,C,10,6,BA,O,
GSO,5,A,O,5,25,3,4,1,,18,3,4,25,6,BA,O,
GSO,5,A,+,6,5,1,4,B,,18,6,4,25,6,A,O,
GSO,5,A,+,5,25,3,4,C,,18,3,3,25,T3,A,-,
GSO,6,A,O,6,3,3,4,B,,18,3,B,7,1,A,O,
GSO,6,A,+,1,5,3,4,2,,18,3,4,25,R6,A,-,
GSO,6,A,+,6,3,3,4,B,,18,3,4,25,1,BK,O,W
GSO,1,B,O,6,5,3,5,3,4,18,3,4,6,6,BA,O,
GSO,1,C,O,1,25,2,5,3,4,18,3,3,7,1,E,O,L
GSO,1,C,O,6,5,2,5,3,4,18,2,4,6,T2,A,-,
GSO,2,A,O,5,8,1,4,5,2,7,1,4,8,T6,A,-,
GSO,2,A,+,5,8,1,4,2,5,18,6,4,8,5,E,O,L
GSO,2,A,O,5,5,3,4,2,5,18,3,5,6,6,BA,O,
GSO,3,A,+,6,25,3,4,3,5,18,3,4,8,T3,K,-,W
GSO,4,A,O,4,10,3,5,3,,18,3,5,8,T3,K,-,W
GSO,5,B,O,6,5,3,4,B,,18,4,B,10,6,K,+,W
GSO,6,C,+,5,25,3,4,B,,18,2,4,25,1,E,O,L
GSO,6,C,+,5,25,1,4,B,,18,6,B,7,6,BA,O,
GSO,1,C,O,1,5,1,4,B,2,18,3,2,6,1,E,O,L
GSO,1,C,O,1,5,3,2,B,4,18,2,2,6,1,BK,O,W
GSO,2,A,+,5,5,3,4,3,5,18,3,5,6,1,A,+,
GSO,2,A,+,1,25,2,4,2,5,18,3,2,7,1,A,+,
GSO,3,A,O,5,8,3,4,3,5,18,3,5,6,6,BA,O,
GSO,3,A,+,1,5,1,4,,5,18,5,4,8,1,K,O,W
GSO,4,A,O,6,5,1,4,A,,18,3,4,8,5,BA,O,
GSO,4,A,O,6,5,3,5,3,,18,3,5,8,6,BA,O,
GSO,5,B,+,1,3,3,2,C,,18,2,2,25,1,K,+,W
GSO,6,C,O,1,5,3,3,B,,18,3,3,25,5,K,+,W
GSO,1,C,O,1,5,3,2,C,4,18,3,2,25,6,A,+,
GSO,3,A,O,5,8,0,,,,,,,,,,,L
GSO,5,C,+,1,3,1,3,C,,18,3,SD,18,T4,A,-,
GSO,6,A,O,5,25,3,3,B,,18,3,B,7,T1,A,-,
GSO,1,B,+,5,25,3,2,B,4,18,3,2,25,5,K,+,W
GSO,3,A,+,6,25,1,4,3,5,18,1,5,6,1,A,O,
GSO,4,C,+,1,3,3,4,C,,18,3,2,16,T6,A,-,
GSO,4,C,+,1,3,1,4,2,,18,1,BRA,25,1,K,O,W
GSO,5,C,O,6,5,3,3,C,,18,3,3,25,1,A,+,
GSO,5,C,+,6,5,3,4,B,,18,3,B,10,1,BA,O,
GSO,6,A,O,5,3,3,5,3,,18,3,5,25,6,A,O,
GSO,6,A,O,5,25,3,4,A,,18,3,4,25,5,K,O,W
GSO,1,B,O,5,25,3,4,3,B,18,3,4,25,5,E,O,L
GSO,1,B,O,6,5,3,5,1,4,18,3,4,6,1,BE,O,L
GSO,1,C,+,6,5,1,,,,,,,,,,,
GSO,1,B,O,5,16,3,2,B,4,18,3,2,25,5,A,+,
GSO,2,C,O,1,25,3,4,3,5,18,3,4,16,5,K,O,W
GSO,3,A,O,5,16,3,4,1,5,18,2,BRA,25,1,K,O,W
GSO,4,A,O,5,25,3,4,C,,18,3,C,10,6,A,O,
GSO,5,A,O,5,25,2,3,B,,18,3,BRA,10,T3,A,-,
GSO,1,A,O,6,25,3,B,3,4,18,3,3,17,5,K,O,W
GSO,2,C,O,1,25,1,4,3,5,18,4,5,6,T3,BA,-,
GSO,2,C,O,1,25,1,4,3,5,18,6,4,16,6,BA,O,
GSO,3,C,+,6,25,3,4,1,5,18,3,1,10,5,BA,O,
GSO,3,C,+,1,5,1,4,C,2,18,4,4,16,6,BA,O,
GSO,3,C,O,1,5,3,2,C,4,18,3,4,6,6,BA,-,
GSO,4,C,O,1,3,2,4,2,,18,3,2,10,T3,BA,-,
GSO,4,C,O,1,3,3,4,C,,18,3,4,16,6,BK,O,W
GSO,5,A,O,5,25,0,,,,,,,,,,,L
GSO,5,A,O,3,5,3,2,C,,18,3,C,10,6,BE,O,L
GSO,5,A,O,4,25,3,4,C,,18,3,4,25,5,K,O,W
GSO,6,A,O,5,25,3,4,1,,18,3,4,25,1,K,O,W
GSO,1,A,O,6,16,3,4,1,4,18,3,4,25,5,A,O,
GSO,2,B,O,6,5,3,4,B,5,18,4,5,6,1,A,+,
GSO,3,C,O,1,5,3,4,2,5,18,3,BRA,25,5,K,+,W
GSO,4,A,+,5,25,1,4,,,5,6,4,16,6,A,O,
GSO,5,A,O,5,25,3,4,A,,18,4,4,25,6,K,+,W
GSO,6,A,O,5,25,3,4,B,,18,4,4,25,R6,A,-,
GSO,6,C,+,5,25,3,5,3,,18,3,5,25,6,BA,O,
GSO,1,A,+,5,25,3,4,3,5,18,3,3,17,1,BK,+,W
GSO,2,A,O,5,16,2,4,3,5,18,3,3,17,T2,A,-,
GSO,4,A,O,3,1,1,4,2,,18,3,4,16,5,A,O,
GSO,4,A,O,5,25,2,4,2,,18,3,2,10,5,BK,O,W
GSO,5,A,+,6,5,3,4,1,,18,3,4,25,6,A,O,
GSO,6,A,O,1,5,3,4,B,,18,3,B,17,1,K,+,W
GSO,1,B,+,1,5,2,4,2,5,18,3,4,25,6,BA,O,
GSO,2,C,O,1,25,3,4,B,5,18,3,B,17,T3,A,-,
GSO,4,C,+,1,3,3,4,C,,18,3,4,16,6,BA,O,
GSO,4,C,O,1,3,3,4,1,,18,3,4,16,6,A,O,
GSO,4,C,O,2,16,3,5,3,,18,3,BRA,25,5,K,+,W
GSO,5,C,O,6,5,3,3,C,,18,3,3,25,1,K,O,W
GSO,6,B,+,1,25,3,5,2,,18,3,5,25,1,A,O,
GSO,1,B,+,6,25,1,,,,,,,,,,,
GSO,1,B,O,6,5,3,2,3,4,18,3,2,25,5,A,O,
GSO,1,B,O,6,5,1,5,3,4,18,6,5,25,5,BK,O,W
GSO,1,A,O,5,8,2,5,3,4,18,2,3,7,T3,A,-,
GSO,1,A,O,5,8,2,5,3,4,18,4,B,7,T6,A,-,
GSO,1,A,O,5,8,2,5,3,4,18,3,5,25,5,BA,+,
GSO,1,C,O,5,8,1,5,3,4,6,5,5,25,6,A,O,
GSO,1,C,O,5,8,1,5,3,4,18,5,4,6,1,A,O,
GSO,1,C,O,5,8,0,,,,,,,,,,,L
GSO,1,C,O,5,8,0,,,,,,,,,,,L
GSO,1,C,O,5,16,2,5,3,4,18,4,3,7,6,BA,O,
GSO,1,C,O,5,16,1,5,3,4,18,6,5,25,1,A,O,
GSO,1,C,O,5,25,3,2,C,4,18,3,2,25,5,K,+,W
GSO,1,C,O,5,5,1,5,2,4,18,1,2,7,5,A,+,
GSO,1,C,O,5,5,3,5,2,4,18,3,5,25,1,A,+,
GSO,1,C,O,6,25,3,2,C,4,18,3,4,6,1,BE,+,L
GSO,1,A,O,6,5,1,5,2,4,25,1,4,6,6,A,O,
GSO,1,A,O,5,8,3,5,3,4,18,3,3,7,1,BA,O,
GSO,2,A,O,5,5,1,4,3,5,18,1,5,6,1,K,O,W
GSO,2,C,O,6,5,3,4,3,5,18,3,5,6,1,A,+,
GSO,2,C,O,5,8,1,4,3,5,5,5,4,8,R1,A,-,
GSO,2,C,O,1,25,3,4,3,5,18,3,5,6,1,BA,O,
GSO,2,C,O,1,25,2,4,B,5,18,4,B,7,6,K,+,W
GSO,2,C,O,5,8,1,4,3,5,18,6,4,8,5,A,O,
GSO,3,C,O,6,25,1,4,1,5,18,1,4,8,T6,A,-,
GSO,3,A,O,5,8,1,4,1,5,25,5,4,8,6,A,O,
GSO,3,A,O,1,5,3,4,3,5,18,3,5,6,R1,A,-,
GSO,3,C,O,5,8,1,4,3,5,18,5,4,8,5,BK,O,W
GSO,4,A,O,1,3,3,5,3,,18,3,3,10,6,K,+,W
GSO,4,A,O,5,25,1,5,3,,18,6,5,8,T4,BA,-,
GSO,4,C,O,5,25,0,,,,,,,,,,,L
GSO,4,C,O,5,25,0,,,,,,,,,,,L
GSO,4,C,O,6,5,0,,,,,,,,,,,L
GSO,4,C,O,5,25,2,5,3,,18,2,5,8,1,K,+,W
GSO,4,C,O,1,3,3,5,3,,18,3,3,10,6,K,+,W
GSO,4,B,O,5,25,3,5,3,,18,3,3,10,6,BA,+,
GSO,4,B,O,5,25,3,5,3,,18,3,5,8,T4,BA,-,
GSO,4,B,O,5,25,3,4,C,,18,3,C,10,5,BA,O,
GSO,4,A,-,1,3,3,4,C,,18,3,4,8,1,K,O,W
GSO,4,A,O,5,25,1,4,C,,18,1,4,8,6,BA,+,
GSO,5,A,O,6,5,3,4,C,,18,3,C,10,6,A,O,
GSO,5,A,O,5,6,0,,,,,,,,,,,L
GSO,5,A,O,5,25,3,4,C,,18,3,C,10,5,K,+,W
GSO,5,C,O,6,3,1,4,C,,18,6,4,25,1,BA,O,
GSO,5,C,O,1,3,1,4,C,,18,2,FB,10,T1,A,-,
GSO,5,C,O,1,3,1,4,B,,18,5,B,10,6,BA,+,
GSO,5,C,O,1,3,2,3,C,,18,3,3,25,T3,A,-,
GSO,5,C,O,5,25,1,4,C,,18,5,4,25,1,BA,O,
GSO,5,C,O,5,5,3,4,C,,18,3,4,25,6,BA,O,
GSO,5,C,O,5,25,0,,,,,,,,,,,L
GSO,5,C,O,5,25,1,3,C,,18,5,3,25,T1,BA,-,
GSO,6,B,O,6,5,3,5,3,,18,3,5,25,1,K,+,W
GSO,6,A,O,5,3,3,5,3,,18,3,SD,18,T6,K,-,W
GSO,6,C,O,5,3,3,5,3,,18,3,3,7,6,BK,O,W
GSO,6,C,O,5,25,1,4,C,,5,1,4,25,1,K,+,W
GSO,6,C,O,6,3,1,4,C,,18,3,4,25,5,K,O,W
GSO,1,C,O,6,5,1,5,3,4,18,6,5,25,1,A,O,
GSO,1,C,O,6,5,3,5,3,4,18,3,3,10,1,BE,+,L
GSO,1,C,O,6,5,1,5,3,4,18,3,4,6,T6,BA,-,
GSO,1,C,O,6,5,3,5,B,4,18,3,B,10,5,BK,O,W
GSO,1,C,O,6,5,2,5,B,4,18,3,B,10,T6,A,-,
GSO,1,C,-,6,25,3,C,3,4,18,3,4,6,1,BK,O,W
GSO,1,A,O,6,5,2,5,3,2,18,3,5,25,R5,A,-,
GSO,1,C,O,6,5,1,5,3,4,18,1,5,25,1,A,O,
GSO,1,C,O,5,8,2,2,3,4,18,3,4,6,6,E,O,L
GSO,1,C,O,5,5,1,5,3,4,18,3,5,25,5,A,+,
GSO,1,C,O,5,5,3,5,3,4,18,3,5,25,1,BA,O,
GSO,1,C,O,5,8,1,5,3,4,6,4,FB,25,T1,A,-,
GSO,1,C,O,6,5,1,5,3,4,25,1,FB,5,T6,A,-,
